scenario,profile,strategy,r,mu,sigma,D_T,mean_abs_gap,max_abs_gap,year_of_max_gap,signed_gap_at_max,initial_gap,year20_gap,year35_gap
baseline,constant,PCMV,0.015,0.055,0.18,0.0,0.22648688917836216,0.38457357539005677,30.0,-0.38457357539005677,0.0,-0.31107939213506774,-0.36056931559514194
baseline,constant,DOMV,0.015,0.055,0.18,0.0,0.09961890823518228,0.27555420355806437,17.0,-0.27555420355806437,0.0,-0.24808915914716,-0.013949180531961508
baseline,constant,cTCMV,0.015,0.055,0.18,0.0,0.014297579682775837,0.04328437845221955,13.5,-0.04328437845221955,0.0,-0.021696639331682088,-0.0043571035256437796
baseline,constant,dTCMV,0.015,0.055,0.18,0.0,0.14141777497058586,0.24711950338135946,3.0,-0.24711950338135946,0.0,-0.11653684610823739,-0.1362229434669061
D_alt,constant,PCMV,0.015,0.055,0.18,54.536265359302206,0.22532547576790546,0.3858546196802477,29.5,-0.3858546196802477,0.0,-0.30280004727201815,-0.3667843774575243
D_alt,constant,DOMV,0.015,0.055,0.18,54.536265359302206,0.09848612815118887,0.2771295560235245,16.5,-0.2771295560235245,0.0,-0.2458405176942864,-0.00789043108651824
D_alt,constant,cTCMV,0.015,0.055,0.18,54.536265359302206,0.014297579682754646,0.043284378453157024,13.5,-0.043284378453157024,0.0,-0.02169663933177879,-0.004357103525635231
D_alt,constant,dTCMV,0.015,0.055,0.18,54.536265359302206,0.2026970849538119,0.36515151716232574,18.5,-0.36515151716232574,0.0,-0.3386319938404434,0.0042781358523518165
r_low,constant,PCMV,0.005,0.055,0.18,0.0,0.23666362187456835,0.6391944277861739,39.5,-0.6391944277861739,0.0,-0.19493666640280327,-0.5539473864611878
r_low,constant,DOMV,0.005,0.055,0.18,0.0,0.09553662272006852,0.26389068669455285,23.0,-0.26389068669455285,0.0,-0.2212876348032713,-0.04487469214616996
r_low,constant,cTCMV,0.005,0.055,0.18,0.0,0.023985688139301527,0.07009954102231952,15.5,-0.07009954102231952,0.0,-0.05390452062621898,-0.0033213524873677014
r_low,constant,dTCMV,0.005,0.055,0.18,0.0,0.15959819902203867,0.2893068092924528,4.5,-0.2893068092924528,0.0,-0.16893228992941395,-0.16324259504427485
r_high,constant,PCMV,0.025,0.055,0.18,0.0,0.13234884941558606,0.22578268011399338,15.5,-0.22578268011399338,0.0,-0.20845450811729294,-0.1043488154606581
r_high,constant,DOMV,0.025,0.055,0.18,0.0,0.08292002737439712,0.2647633196947783,8.5,-0.2647633196947783,0.0,-0.06525697460224777,-0.0002440089179984728
r_high,constant,cTCMV,0.025,0.055,0.18,0.0,0.010147634038806107,0.04841874630077547,7.0,-0.04841874630077547,0.0,0.009673419560901675,-0.004463587114015566
r_high,constant,dTCMV,0.025,0.055,0.18,0.0,0.1113445870773826,0.38493978737913426,2.0,-0.38493978737913426,0.0,-0.06725302486050339,-0.0647507185899786
mu_low,constant,PCMV,0.015,0.045,0.18,0.0,0.14075066376293682,0.23341433738881912,19.0,-0.23341433738881912,0.0,-0.22981800368375094,-0.14096827031905684
mu_low,constant,DOMV,0.015,0.045,0.18,0.0,0.08942172650205278,0.24320334614935013,11.5,-0.24320334614935013,0.0,-0.1055698592488683,-0.00690995490346985
mu_low,constant,cTCMV,0.015,0.045,0.18,0.0,0.02346881018631003,0.1036627908917529,9.0,-0.1036627908917529,0.0,-0.014310439205293957,-0.00029190489819597154
mu_low,constant,dTCMV,0.015,0.045,0.18,0.0,0.12567201685470358,0.2810845221929683,5.0,-0.2810845221929683,0.0,-0.13213380256318713,-0.07458404521322726
mu_high,constant,PCMV,0.015,0.065,0.18,0.0,0.2779144799023333,0.6925386839762822,39.5,-0.6925386839762822,0.0,-0.26580120161122955,-0.606274755175823
mu_high,constant,DOMV,0.015,0.065,0.18,0.0,0.10270427269142553,0.2915547204280906,21.0,-0.2915547204280906,0.0,-0.2835889041449685,-0.017849137279100813
mu_high,constant,cTCMV,0.015,0.065,0.18,0.0,0.011863498964109978,0.03196294272703859,13.5,-0.03196294272703859,0.0,-0.021660830799524633,-0.0005122150094143962
mu_high,constant,dTCMV,0.015,0.065,0.18,0.0,0.11707339070630955,0.36891310145569595,2.5,-0.36891310145569595,0.0,-0.07233374865485082,-0.1421805370616792
sigma_low,constant,PCMV,0.015,0.055,0.14,0.0,0.21701352643593036,0.612629085674063,39.5,-0.612629085674063,0.0,-0.17028739510862112,-0.5196622336553697
sigma_low,constant,DOMV,0.015,0.055,0.14,0.0,0.0874916502031781,0.26654120562715367,25.5,-0.26654120562715367,0.0,-0.1751426471343277,-0.03934219967371888
sigma_low,constant,cTCMV,0.015,0.055,0.14,0.0,0.006164854027479533,0.022386609103545396,19.5,-0.022386609103545396,0.0,-0.01820512506139338,0.0034170006370751183
sigma_low,constant,dTCMV,0.015,0.055,0.14,0.0,0.09627685880617239,0.29174222361183294,3.0,-0.29174222361183294,0.0,-0.0472337363304528,2.220446049250313e-16
sigma_high,constant,PCMV,0.015,0.055,0.22,0.0,0.16449383693351952,0.26189763475558325,18.5,-0.26189763475558325,0.0,-0.25835612923690454,-0.16329982124617093
sigma_high,constant,DOMV,0.015,0.055,0.22,0.0,0.08819146693122838,0.2566335466913916,11.5,-0.2566335466913916,0.0,-0.12034196123397223,-0.008350418306933005
sigma_high,constant,cTCMV,0.015,0.055,0.22,0.0,0.020593547650246735,0.06193640376497456,9.0,-0.06193640376497456,0.0,-0.020483128228389436,-0.0014501605503131343
sigma_high,constant,dTCMV,0.015,0.055,0.22,0.0,0.12782054225066158,0.3597511268342757,3.5,-0.3597511268342757,0.0,-0.11227133004191236,-0.0733671831527255
contrib_constant,constant,PCMV,0.015,0.055,0.18,0.0,0.22648688917836216,0.38457357539005677,30.0,-0.38457357539005677,0.0,-0.31107939213506774,-0.36056931559514194
contrib_constant,constant,DOMV,0.015,0.055,0.18,0.0,0.09961890823518228,0.27555420355806437,17.0,-0.27555420355806437,0.0,-0.24808915914716,-0.013949180531961508
contrib_constant,constant,cTCMV,0.015,0.055,0.18,0.0,0.014297579682775837,0.04328437845221955,13.5,-0.04328437845221955,0.0,-0.021696639331682088,-0.0043571035256437796
contrib_constant,constant,dTCMV,0.015,0.055,0.18,0.0,0.14141777497058586,0.24711950338135946,3.0,-0.24711950338135946,0.0,-0.11653684610823739,-0.1362229434669061
contrib_linear,linear,PCMV,0.015,0.055,0.18,0.0,0.16347776151965707,0.43923309883112555,39.5,-0.43923309883112555,0.0,-0.09240421462262371,-0.4235465628390382
contrib_linear,linear,DOMV,0.015,0.055,0.18,0.0,0.06430728322940217,0.21199763684016104,24.0,-0.21199763684016104,0.0,-0.15617754734805633,-0.0167608039801056
contrib_linear,linear,cTCMV,0.015,0.055,0.18,0.0,0.003213053893943705,0.011477440070948308,21.5,-0.011477440070948308,0.0,-0.00654629191972389,0.0037569161115272864
contrib_linear,linear,dTCMV,0.015,0.055,0.18,0.0,0.12603513476047806,0.24427233417285776,24.0,-0.24427233417285776,0.0,-0.23674898289310298,-0.12785734370001522
contrib_quadratic,quadratic,PCMV,0.015,0.055,0.18,0.0,0.11683475327631232,0.4936632069343333,39.5,-0.4936632069343333,0.0,-0.005270045878819074,-0.40315728000059003
contrib_quadratic,quadratic,DOMV,0.015,0.055,0.18,0.0,0.04745962375010669,0.18560184884553788,27.5,-0.18560184884553788,0.0,-0.0475478945217942,-0.029669272592220852
contrib_quadratic,quadratic,cTCMV,0.015,0.055,0.18,0.0,0.005517633867384109,0.020434007417960087,28.5,-0.020434007417960087,0.0,-0.0005970282646216019,-0.0013341368126131847
contrib_quadratic,quadratic,dTCMV,0.015,0.055,0.18,0.0,0.05926572725201791,0.16626772631839593,30.0,-0.16626772631839593,0.0,-0.09264667671658544,-0.11512965824229715
