strategy,metric,estimate,se,low,high,block_mean,blocks,block_size
PCMV,q05,38.19367055456481,0.06254223139907913,38.06958676746904,38.31775434166058,38.20696898455059,100,10000
PCMV,q95,100.22461960727361,0.003561295745574496,100.2175539965144,100.23168521803282,100.22505457063947,100,10000
PCMV,lcvar,28.79850531233463,0.04730546222974611,28.704651275270813,28.892359349398447,28.81027943025488,100,10000
DOMV,q05,46.86895679781391,0.03834357477404355,46.792883145462206,46.94503045016561,46.88064367697702,100,10000
DOMV,q95,127.06023397488808,0.051421864578259355,126.9582129955648,127.16225495421135,127.04275386320256,100,10000
DOMV,lcvar,39.20355578996653,0.043954344229702416,39.116350371014796,39.29076120891826,39.21096146339928,100,10000
cTCMV,q05,47.16063077690162,0.039474256804154534,47.082313851402176,47.23894770240106,47.17061785990157,100,10000
cTCMV,q95,123.47057573011064,0.05084638173666174,123.36969650874511,123.57145495147617,123.45293122097482,100,10000
cTCMV,lcvar,38.527088567293866,0.04993353593679754,38.42802043199526,38.626156702592475,38.53474827162464,100,10000
dTCMV,q05,43.17284770915598,0.02715902041742449,43.11896421264781,43.22673120566415,43.170934717379566,100,10000
dTCMV,q95,145.25155296548934,0.10116785148692686,145.05083594813928,145.4522699828394,145.24572266316744,100,10000
dTCMV,lcvar,37.33224381799091,0.03253299162700729,37.26769836260292,37.39678927337889,37.33712701493512,100,10000
CP,q05,45.22689128104246,0.02711294706768002,45.173099194060185,45.28068336802474,45.237472519322665,100,10000
CP,q95,144.18618553363237,0.11266163082190381,143.96266485808172,144.409706209183,144.17193665261127,100,10000
CP,lcvar,39.899531549582754,0.028639835407477887,39.84271011613432,39.95635298303119,39.904707158959006,100,10000
