eta0,gamma0,year,state,x,mean,stdev,skewness,glide
0.0,2.5,20,median,24.074315644008184,69.01473961953087,20.2142785260623,0.7633165967996948,0.08333333333333333
0.0,2.5,20,high,31.95199641049627,83.48305512058405,24.28405633267445,0.7968706953652979,0.08333333333333333
0.0,2.5,35,median,53.39339325316426,68.07831339605058,12.285694823658389,0.4609344032287562,0.41666666666666663
0.0,2.5,35,high,76.78266799050033,95.15425001004125,16.56468606018903,0.6077352912639786,0.375
1.0,2.9477203369140623,20,median,25.328834455928472,70.1939098633704,19.581440221732432,0.6810493092980167,0.08333333333333333
1.0,2.9477203369140623,20,high,33.34486740654338,85.21002835838809,23.627636710943367,0.6873139154082173,0.08333333333333333
1.0,2.9477203369140623,35,median,53.39339325316426,67.60323229001666,11.27241493927785,0.4122563353393343,0.41666666666666663
1.0,2.9477203369140623,35,high,76.78266799050033,94.46803334256833,14.792727975234932,0.4117999140799063,0.3333333333333333
2.0,3.3717025756835937,20,median,25.328834455928472,68.64177152382833,18.175529924288558,0.6406904950616455,0.08333333333333333
2.0,3.3717025756835937,20,high,34.75990745205544,86.29940788301735,22.78218257458952,0.6186499153820448,0.08333333333333333
2.0,3.3717025756835937,35,median,53.39339325316426,67.34350347397825,10.624065863666688,0.2753940349803561,0.375
2.0,3.3717025756835937,35,high,78.71121401515323,96.06452532429962,13.827414306293532,0.3678441292078968,0.3333333333333333
4.0,4.1007080078125,20,median,26.607100132603314,67.97846056351362,16.35124686932359,0.6426118328195956,0.08333333333333333
4.0,4.1007080078125,20,high,39.135789990949135,90.97205262980788,21.92505365830563,0.5502288685102489,0.08333333333333333
4.0,4.1007080078125,35,median,53.39339325316426,67.17160590056417,10.296972474919992,0.20045706056909243,0.375
4.0,4.1007080078125,35,high,80.65764491557572,97.53245080839689,12.536351742645651,0.3108729800115209,0.29166666666666663
8.0,5.19421615600586,20,median,27.908822109536413,66.52357822639785,13.440730874534774,0.7573885101262814,0.08333333333333333
8.0,5.19421615600586,20,high,46.852396820816026,98.43540660724713,20.070095337434072,0.5098941755594407,0.08333333333333333
8.0,5.19421615600586,35,median,53.39339325316426,65.65874141071525,8.614227419382264,0.450673931366092,0.16666666666666666
8.0,5.19421615600586,35,high,84.60372804643204,101.61699545262,12.111783151334423,0.1431356666962489,0.29166666666666663
