scenario,profile,strategy,r,mu,sigma,D_T,mean_abs_gap,max_abs_gap,year_of_max_gap,signed_gap_at_max,initial_gap,year20_gap,year35_gap
baseline,constant,PCMV,0.015,0.055,0.18,0.0,0.22648688917836218,0.38457357539005704,30.0,-0.38457357539005704,0.0,-0.31107939213506686,-0.3605693155951418
baseline,constant,DOMV,0.015,0.055,0.18,0.0,0.09961890823518227,0.27555420355806437,17.0,-0.27555420355806437,0.0,-0.2480891591471598,-0.013949180531961564
baseline,constant,cTCMV,0.015,0.055,0.18,0.0,0.01429757968277744,0.04328437845257338,13.5,-0.04328437845257338,0.0,-0.021696639331660106,-0.004357103525619133
baseline,constant,dTCMV,0.015,0.055,0.18,0.0,0.03335583222010151,0.15244800527891644,2.5,-0.15244800527891644,0.0,0.034006076131788854,0.020876364701518768
D_alt,constant,PCMV,0.015,0.055,0.18,54.536265359302206,0.22532547576790543,0.3858546196802478,29.5,-0.3858546196802478,0.0,-0.3028000472720179,-0.36678437745752424
D_alt,constant,DOMV,0.015,0.055,0.18,54.536265359302206,0.09848612815118887,0.27712955602352496,16.5,-0.27712955602352496,0.0,-0.2458405176942864,-0.007890431086518157
D_alt,constant,cTCMV,0.015,0.055,0.18,54.536265359302206,0.014297579682777246,0.043284378453593786,13.5,-0.043284378453593786,0.0,-0.02169663933166399,-0.0043571035257010116
D_alt,constant,dTCMV,0.015,0.055,0.18,54.536265359302206,0.1042510607580431,0.20811921795909205,4.5,-0.20811921795909205,0.0,-0.1587685465654819,0.03762901945663988
r_low,constant,PCMV,0.005,0.055,0.18,0.0,0.2366636218745684,0.6391944277861739,39.5,-0.6391944277861739,0.0,-0.19493666640280372,-0.553947386461188
r_low,constant,DOMV,0.005,0.055,0.18,0.0,0.09553662272006852,0.2638906866945532,23.0,-0.2638906866945532,0.0,-0.2212876348032714,-0.044874692146170014
r_low,constant,cTCMV,0.005,0.055,0.18,0.0,0.02398568813930269,0.07009954102238058,15.5,-0.07009954102238058,0.0,-0.05390452062628226,-0.0033213524873796363
r_low,constant,dTCMV,0.005,0.055,0.18,0.0,0.04476413387658518,0.20776633011867895,3.5,-0.20776633011867895,0.0,0.026211320401336502,0.07106505570213506
r_high,constant,PCMV,0.025,0.055,0.18,0.0,0.13234884941558606,0.2257826801139935,15.5,-0.2257826801139935,0.0,-0.20845450811729294,-0.10434881546065833
r_high,constant,DOMV,0.025,0.055,0.18,0.0,0.08292002737439712,0.2647633196947785,8.5,-0.2647633196947785,0.0,-0.06525697460224777,-0.0002440089179984728
r_high,constant,cTCMV,0.025,0.055,0.18,0.0,0.010147634038793558,0.04841874630031984,7.0,-0.04841874630031984,0.0,0.009673419560940866,-0.004463587114023088
r_high,constant,dTCMV,0.025,0.055,0.18,0.0,0.03897538064168945,0.3545549664729216,1.5,-0.3545549664729216,0.0,0.02547644326009124,0.015926675477855756
mu_low,constant,PCMV,0.015,0.045,0.18,0.0,0.1407506637629368,0.23341433738881923,19.0,-0.23341433738881923,0.0,-0.22981800368375094,-0.140968270319057
mu_low,constant,DOMV,0.015,0.045,0.18,0.0,0.08942172650205278,0.24320334614935013,11.5,-0.24320334614935013,0.0,-0.1055698592488683,-0.00690995490346985
mu_low,constant,cTCMV,0.015,0.045,0.18,0.0,0.02346881018630135,0.10366279089168162,9.0,-0.10366279089168162,0.0,-0.014310439205281078,-0.00029190489820757337
