strategy,month,wealth,global_continuous_action_gap,best_fraction,saved_fraction
PCMV,0,5.0,0.0,1.0,1.0
PCMV,0,15.0,0.00024135472108355316,0.6306821417295914,0.625
PCMV,0,30.0,0.0,0.0,0.0
PCMV,0,50.0,0.0,0.0,0.0
PCMV,0,75.0,0.0,0.0,0.0
PCMV,0,100.0,0.0,0.0,0.0
PCMV,0,150.0,0.0,1.0,1.0
PCMV,0,250.0,0.0,1.0,1.0
PCMV,0,400.0,0.0,1.0,1.0
PCMV,0,550.0,0.0,1.0,1.0
PCMV,60,5.0,0.0,1.0,1.0
PCMV,60,15.0,6.211436138414683e-05,0.8961632440789049,0.890625
PCMV,60,30.0,7.253382426242183e-06,0.12613642834592054,0.125
PCMV,60,50.0,0.0,0.0,0.0
PCMV,60,75.0,0.0,0.0,0.0
PCMV,60,100.0,0.0,0.0,0.0
PCMV,60,150.0,0.0,0.0,0.0
PCMV,60,250.0,0.0,1.0,1.0
PCMV,60,400.0,0.0,1.0,1.0
PCMV,60,550.0,0.0,1.0,1.0
PCMV,120,5.0,0.0,1.0,1.0
PCMV,120,15.0,5.684341886080802e-14,1.0,1.0
PCMV,120,30.0,9.278465141449033e-05,0.3580513654172047,0.359375
PCMV,120,50.0,0.0,0.0,0.0
PCMV,120,75.0,0.0,0.0,0.0
PCMV,120,100.0,0.0,0.0,0.0
PCMV,120,150.0,0.0,0.0,0.0
PCMV,120,250.0,0.0,1.0,1.0
PCMV,120,400.0,0.0,1.0,1.0
PCMV,120,550.0,0.0,1.0,1.0
PCMV,240,5.0,4.547473508864641e-13,1.0,1.0
PCMV,240,15.0,0.0,1.0,1.0
PCMV,240,30.0,0.0013803783168668815,0.755426291198152,0.75
PCMV,240,50.0,0.0007836906513816189,0.17734405298784353,0.171875
PCMV,240,75.0,0.0,0.0,0.0
PCMV,240,100.0,0.0,0.0,0.0
PCMV,240,150.0,0.0,0.0,0.0
PCMV,240,250.0,0.0,1.0,1.0
PCMV,240,400.0,0.0,1.0,1.0
PCMV,240,550.0,0.0,1.0,1.0
PCMV,360,5.0,0.0,1.0,1.0
PCMV,360,15.0,9.094947017729282e-13,1.0,1.0
PCMV,360,30.0,4.547473508864641e-13,1.0,1.0
