first,second,mean_difference,se,ci_low,ci_high
PCMV,DOMV,-0.004554616231865349,0.013818749996613163,-0.03163936622522715,0.02253013376149645
PCMV,cTCMV,-0.002094365755454187,0.011772678011965415,-0.0251688146589064,0.020980083147998027
PCMV,dTCMV,-0.0008954040376765624,0.024090050784673783,-0.04811190357563718,0.04632109550028405
PCMV,CP,-0.010878829244155539,0.022916965360045893,-0.05579608134984548,0.03403842286153441
DOMV,cTCMV,0.0024602504764111555,0.004686832409529606,-0.0067259410462668714,0.011646441999089183
DOMV,dTCMV,0.0036592121941887656,0.020206464943801388,-0.03594545909566196,0.043263883484039485
DOMV,CP,-0.006324213012290188,0.015089839465316071,-0.03590029836430969,0.02325187233972931
cTCMV,dTCMV,0.001198961717777618,0.01680672262777551,-0.03174221463266238,0.03414013806821762
cTCMV,CP,-0.008784463488701348,0.013177349754740615,-0.034612069007992956,0.017043142030590257
dTCMV,CP,-0.009983425206478961,0.00933899875903626,-0.02828786277419003,0.008321012361232108
