first,second,mean_difference,se,ci_low,ci_high
PCMV,DOMV,-0.011544589744606294,0.013816007864272145,-0.0386239651585797,0.01553478566936711
PCMV,cTCMV,-0.01974626761056557,0.011822303846940491,-0.04291798315056893,0.0034254479294377888
PCMV,dTCMV,-0.014725738985123457,0.02412472146512702,-0.06201019305677241,0.0325587150865255
PCMV,CP,-0.013858043760652295,0.022902915614118346,-0.05874775836432425,0.031031670843019662
DOMV,cTCMV,-0.008201677865959274,0.004672835726157751,-0.017360435889228466,0.0009570801573099176
DOMV,dTCMV,-0.003181149240517161,0.02025061768778927,-0.04287235990858413,0.036510061427549804
DOMV,CP,-0.002313454016045995,0.015063427280997264,-0.031837771486800635,0.027210863454708644
cTCMV,dTCMV,0.005020528625442117,0.016832011414075223,-0.02797021374614532,0.038011270997029556
cTCMV,CP,0.005888223849913279,0.013127379411166477,-0.019841439795973016,0.03161788749579957
dTCMV,CP,0.0008676952244711628,0.009340278853462745,-0.01743925132831582,0.019174641777258142
