x_max,n_x,n_controls,eta0,mean,q05_left,q05_interpolated,q95_interpolated,terminal_boundary_mass
300,151,25,0.0,70.34483966999647,39.135789990949135,38.04105348723116,111.38560353747386,3.958028428353317e-07
300,151,25,0.5,73.3731491021588,39.135789990949135,38.39725802614508,118.26147922516482,1.5070587951533433e-06
300,151,25,1.0,84.27994619039531,39.135789990949135,38.91850105858832,145.95109668117354,5.075132908789293e-05
300,151,25,2.0,97.66341389324043,39.135789990949135,37.685414104041215,187.40904698228948,0.0007195344502583183
300,601,49,0.0,77.41609334123532,46.45428976350203,46.38922527898191,117.9847946819013,2.106430959615968e-07
300,601,49,0.5,78.75855312397375,46.45428976350203,46.13391274791818,121.99743487710582,6.868218503574228e-07
300,601,49,1.0,83.72080977812014,46.057458012250194,45.91741014354029,135.34430556406136,8.70582300914498e-06
300,601,49,2.0,99.64129782651604,41.77727722176561,41.61133445754669,188.70493803411077,0.0005837839118705754
300,1201,49,0.0,77.75543764019567,47.251776466414746,47.17138195479944,118.23144329890381,1.7368244234813525e-07
300,1201,49,0.5,79.32424608544598,47.051927739150216,46.97180710906374,122.7168533556293,6.396202502037412e-07
300,1201,49,1.0,82.43372865307798,46.852396820816026,46.73163435347855,131.49209523727436,4.508779785096607e-06
300,1201,49,2.0,99.54574046882132,41.96842269691346,41.94823338645808,188.17415565636398,0.0005587747924206011
600,2401,97,0.0,77.50622132680165,47.22010970109293,47.141556848622095,117.62739675032576,1.8503199526858327e-14
600,2401,97,0.5,79.44788214210723,47.06601601437462,46.9971483149224,122.97729404952858,4.923605018983144e-13
600,2401,97,1.0,82.55282350130693,46.75839566418327,46.700609916911105,131.82300899681815,3.742949252108397e-11
600,2401,97,2.0,103.81754521330916,41.940296681515605,41.85337687415467,215.67045840182823,2.2958269222499084e-05
900,3601,97,0.0,77.65143968163423,47.15831480854689,47.14571284446287,117.99124943189645,7.566267417821173e-20
900,3601,97,0.5,79.40601807515225,47.02601027848822,46.970908584867104,122.90308479760064,6.995979040785132e-18
900,3601,97,1.0,82.82391497494041,46.76181963413005,46.72103787240449,132.47840632330642,4.513050014509556e-15
900,3601,97,2.0,104.24483340147837,41.97588869251623,41.96188036514907,217.3089910689541,3.0779166370038734e-06
