eta0,gamma0,year,state,x,mean,stdev,skewness,glide
0.0,1.193359375,20,median,24.074315644008184,82.68641995426242,38.97446025271249,1.442746864297514,0.375
0.0,1.193359375,20,high,33.34486740654338,100.62686047776728,46.582169355893264,1.418021222125012,0.5
0.0,1.193359375,35,median,58.50665325379375,79.90652874658552,27.01686723189839,1.0095810029618535,0.625
0.0,1.193359375,35,high,92.7058701311799,122.8497648837269,40.877574502966034,1.0157286550978186,0.625
1.0,2.496286010742187,20,median,27.908822109536413,81.68348464533024,26.77027882778975,0.8635081451772,0.5833333333333333
1.0,2.496286010742187,20,high,45.267631401425994,111.07350579378362,34.349016175830286,0.9001055503912997,0.41666666666666663
1.0,2.496286010742187,35,median,63.793291290635686,80.30630686932885,14.499442937105119,0.547851405999462,0.41666666666666663
1.0,2.496286010742187,35,high,101.08273587238082,124.14978672599581,22.73289966628611,0.5482420733481372,0.375
2.0,3.054478454589843,20,median,29.233721898811464,81.4163956078046,24.4994164714073,0.6916430314961434,0.3333333333333333
2.0,3.054478454589843,20,high,48.45752405607884,113.79127745639573,31.516651973606862,0.7554748144286564,0.41666666666666663
2.0,3.054478454589843,35,median,63.793291290635686,79.44893227270795,12.65575449326602,0.39778964861812205,0.375
2.0,3.054478454589843,35,high,103.21917902725436,124.56855323552657,18.62087371618132,0.5927558581927765,0.3333333333333333
4.0,3.7316299438476563,20,median,30.581532253294114,81.55479723017477,23.07482799508752,0.5958670189872857,0.3333333333333333
4.0,3.7316299438476563,20,high,51.72818579717866,117.18427604611225,29.795205663584543,0.6230563272392677,0.41666666666666663
4.0,3.7316299438476563,35,median,65.59338293548683,80.88048276915444,11.529045182269229,0.2789400821749822,0.3333333333333333
4.0,3.7316299438476563,35,high,105.37233515089733,125.97985037640535,16.222965981911685,0.2878093912309569,0.29166666666666663
8.0,4.698553466796875,20,median,31.95199641049627,81.81383489751403,22.157278485637057,0.5703864081196648,0.5416666666666666
8.0,4.698553466796875,20,high,55.07830796684873,120.52651456470231,28.25767286764789,0.4848404920776323,0.375
8.0,4.698553466796875,35,median,63.793291290635686,78.6351846404843,10.910711767115544,0.18623894937413524,0.3333333333333333
8.0,4.698553466796875,35,high,109.72844366410754,129.64863384951292,14.339684546195873,0.30723634099128555,0.25
