eta0,gamma0,year,state,x,mean,stdev,skewness,glide
0.0,2.5,20,median,24.074315644008184,69.01473961953083,20.21427852606237,0.7633165967996872,0.08333333333333333
0.0,2.5,20,high,31.95199641049627,83.48305512058398,24.284056332674545,0.7968706953653208,0.08333333333333333
0.0,2.5,35,median,53.39339325316426,68.07831339605058,12.285694823658389,0.46093440322881896,0.41666666666666663
0.0,2.5,35,high,76.78266799050034,95.15425001004127,16.564686060188972,0.6077352912640362,0.375
1.0,2.94801025390625,20,median,25.328834455928472,70.19316158332933,19.58082276425706,0.6811977965111797,0.08333333333333333
1.0,2.94801025390625,20,high,33.34486740654338,85.20953515822734,23.62751102289261,0.6873469953237213,0.08333333333333333
1.0,2.94801025390625,35,median,53.39339325316426,67.60279384410198,11.271983551620554,0.4125800274884134,0.41666666666666663
1.0,2.94801025390625,35,high,76.78266799050034,94.4681026861993,14.793007313168742,0.41189000221313427,0.3333333333333333
2.0,3.3717529296875,20,median,25.328834455928472,68.64177086385514,18.175524900238695,0.6406854442554474,0.08333333333333333
2.0,3.3717529296875,20,high,34.75990745205544,86.29939170067462,22.78209571825058,0.6186053131821434,0.08333333333333333
2.0,3.3717529296875,35,median,53.39339325316426,67.34350347397815,10.624065863665189,0.2753940349756186,0.375
2.0,3.3717529296875,35,high,78.71121401515323,96.06452515309839,13.827412943611224,0.3678422927840847,0.3333333333333333
4.0,4.101126098632813,20,median,26.607100132603314,67.96642071502357,16.340751116233,0.6429095962563631,0.08333333333333333
4.0,4.101126098632813,20,high,39.135789990949135,90.95841193870515,21.91605870301755,0.5505026509280412,0.08333333333333333
4.0,4.101126098632813,35,median,53.39339325316426,67.1716057553204,10.296972603199407,0.20045707389853853,0.375
4.0,4.101126098632813,35,high,80.65764491557572,97.53221577980563,12.535505304602724,0.31044728422743434,0.29166666666666663
8.0,5.194577026367187,20,median,27.908822109536413,66.52269631780888,13.439299493441146,0.7573228572072184,0.08333333333333333
8.0,5.194577026367187,20,high,46.852396820816026,98.43708499296478,20.071834851305187,0.5099680507011256,0.08333333333333333
8.0,5.194577026367187,35,median,53.39339325316426,65.65874141071525,8.614227419382264,0.450673931366092,0.16666666666666666
8.0,5.194577026367187,35,high,84.60372804643204,101.61699545262,12.111783151334423,0.1431356666962489,0.29166666666666663
