scenario,label,profile,strategy,mean,stdev,q05,q50,q95,cvar05,mean_glide
baseline,Baseline D_T=0,constant,PCMV,71.61184766328385,12.297949841083907,47.887740727664315,73.58823624058402,87.18581713214597,34.56879922269613,0.4771623377695041
baseline,Baseline D_T=0,constant,DOMV,68.83079325359697,15.066697550052421,43.05423073287921,67.30200127039315,94.50888258253823,39.41642323580582,0.36080461916939577
baseline,Baseline D_T=0,constant,cTCMV,68.66932171700256,13.610077549682318,47.887740727664315,67.30200127039315,90.8030588031042,41.54066944141179,0.4095285661431392
baseline,Baseline D_T=0,constant,dTCMV,75.17068848009679,23.80110604819427,43.05423073287921,70.4030253895385,118.64350863405888,38.36810236983581,0.40016118935347117
baseline,Baseline D_T=0,constant,CP,69.74288081812747,18.270848357475433,43.05423073287921,67.30200127039315,102.18911695968411,39.76796575063522,0.273138427734375
D_alt,D_T=safe-asset FV=54.54,constant,PCMV,126.95380701511078,12.95456365318296,102.42400608696653,128.12450159988623,141.7220824914482,89.11314248930644,0.48599278277281394
D_alt,D_T=safe-asset FV=54.54,constant,DOMV,123.88581046239604,14.874597683783533,99.96868839615993,121.83826662969535,149.04514794184044,95.55869595735143,0.40792436641896446
D_alt,D_T=safe-asset FV=54.54,constant,cTCMV,123.20558707630465,13.610077549681076,102.42400608696653,121.83826662969535,145.3393241624064,96.07693480071373,0.4095285661431317
D_alt,D_T=safe-asset FV=54.54,constant,dTCMV,149.6824703112152,42.61665019409012,90.9103768536054,145.3393241624064,231.68326535930223,83.26670823649219,0.6711852115450473
D_alt,D_T=safe-asset FV=54.54,constant,CP,124.27914617742965,18.270848357475433,97.59049609218141,121.83826662969535,156.7253823189863,94.30423110993743,0.273138427734375
r_low,r=0.005,constant,PCMV,68.83529764703304,12.873577218468434,40.75233888993367,73.58823624058402,83.6564402780802,29.665642350071675,0.6014531315630528
r_low,r=0.005,constant,DOMV,67.03401668842186,18.796602584857478,38.525913564768324,67.30200127039315,98.304,34.85417328700131,0.5474638898015163
r_low,r=0.005,constant,cTCMV,64.91589499139877,14.983710669166497,40.75233888993367,64.28440880960174,90.8030588031042,35.78472486269069,0.5087124940115656
r_low,r=0.005,constant,dTCMV,72.59088146225172,26.252517701136764,38.525913564768324,67.30200127039315,122.98902390050914,32.67771800932696,0.5216078573093752
r_low,r=0.005,constant,CP,59.23362422866322,15.19169597909114,38.525913564768324,58.49646389312777,87.18581713214597,34.33505796398497,0.273138427734375
r_high,r=0.025,constant,PCMV,78.68907657891515,13.100310498183065,55.72456602791986,80.21420504499187,98.304,43.70242072235893,0.3359800454838483
r_high,r=0.025,constant,DOMV,76.16020992795401,13.210359112068868,55.72456602791986,76.85838218437854,98.304,51.138434124315175,0.2638285310487948
r_high,r=0.025,constant,cTCMV,75.88585949692524,13.000404243643676,55.72456602791986,73.58823624058402,98.304,51.756562676898845,0.25007454996680345
r_high,r=0.025,constant,dTCMV,82.93091209449835,21.78486026354191,50.421,80.21420504499187,122.98902390050914,46.26987527367129,0.3296769061626444
r_high,r=0.025,constant,CP,82.60605095808383,21.94237232071169,53.033008588991066,80.21420504499187,122.98902390050914,46.59973270553399,0.273138427734375
mu_low,mu=0.045,constant,PCMV,64.40763217132042,11.478621264888414,43.05423073287921,64.28440880960174,80.21420504499187,33.64675531769038,0.37552461356836525
mu_low,mu=0.045,constant,DOMV,61.6767020414936,11.674558906768194,43.05423073287921,61.34948603696694,80.21420504499187,39.001419295127576,0.2741415173029388
mu_low,mu=0.045,constant,cTCMV,61.80313891103482,11.232842880064647,45.43242303685773,61.34948603696694,80.21420504499187,40.653939310718705,0.31190200107461
mu_low,mu=0.045,constant,dTCMV,68.29130341975996,19.594702552475503,40.75233888993367,64.28440880960174,106.16493387178275,36.5821047936742,0.40550701307713216
mu_low,mu=0.045,constant,CP,65.5445950395058,17.050043782677214,40.75233888993367,64.28440880960174,98.304,37.58802833756027,0.273138427734375
mu_high,mu=0.065,constant,PCMV,83.02816966951457,14.570827278799321,53.033008588991066,87.18581713214597,98.304,37.992356765535575,0.5552547916882675
mu_high,mu=0.065,constant,DOMV,80.73406484586671,20.44788829818866,50.421,80.21420504499187,114.3914424771364,41.66749722488263,0.49899492762977465
mu_high,mu=0.065,constant,cTCMV,76.87085765934003,16.350848908818275,50.421,76.85838218437854,106.16493387178275,44.18033724442901,0.45128965565580154
mu_high,mu=0.065,constant,dTCMV,82.61544404437987,27.729805381693325,45.43242303685773,76.85838218437854,136.59298787639136,39.69992429079864,0.3892652155254813
mu_high,mu=0.065,constant,CP,74.27239491114084,19.574768440410494,47.887740727664315,70.4030253895385,110.23214577880631,42.18303648317811,0.273138427734375
sigma_low,sigma=0.14,constant,PCMV,81.06383579014854,13.82247600571056,50.421,83.6564402780802,98.304,39.75328214718386,0.6137945249511978
sigma_low,sigma=0.14,constant,DOMV,79.93717325184035,19.840060427955937,50.421,76.85838218437854,114.3914424771364,42.514302351772905,0.5617143299649519
sigma_low,sigma=0.14,constant,cTCMV,78.55584803993936,16.91148504541544,50.421,80.21420504499187,106.16493387178275,44.589750192300755,0.5521132209254044
sigma_low,sigma=0.14,constant,dTCMV,83.54610483283349,28.397791923953577,45.43242303685773,80.21420504499187,136.59298787639136,39.868443192440225,0.4680133413460591
sigma_low,sigma=0.14,constant,CP,69.74288086492771,15.791768207278073,47.887740727664315,67.30200127039315,98.304,43.035740539493084,0.273138427734375
sigma_high,sigma=0.22,constant,PCMV,66.77110129687156,11.972303695064605,45.43242303685773,67.30200127039315,83.6564402780802,33.47303473892673,0.36457838025900174
sigma_high,sigma=0.22,constant,DOMV,63.504162989750874,12.579029282835632,43.05423073287921,61.34948603696694,83.6564402780802,38.96135146305187,0.26314803523637764
sigma_high,sigma=0.22,constant,cTCMV,63.65303584074986,12.021095652314724,45.43242303685773,64.28440880960174,83.6564402780802,40.63633475683471,0.29461505261381077
